"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","Appraisal_Date","Utility_Sewer","Utility_Water","Utility_Electric","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","row_num"
"1",20012023,87500,2018-01-30,"2010-09-08",0.7899,2014-08-27,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,91,"N","N","N","N","N","N","N",1
"2",20013010,75000,2018-09-06,"2010-12-01",4.86,2014-09-24,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,"WF Lake",91,"N","N","N","N","N","Y","N",1
"3",20036001,195000,2018-05-09,"2010-09-08",1.2,2014-09-03,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,91,"N","N","N","N","N","N","N",1
"4",20036014,365000,2018-10-04,"2010-09-08",1.1899,2014-08-28,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,91,"N","N","N","N","N","N","N",1
"5",20037003,373000,2018-05-31,"2010-09-08",1,2014-09-04,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,91,"N","N","N","N","N","N","N",1
"6",20044018,308000,2018-03-27,"2010-09-08",4.95,2014-09-15,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,91,"N","N","N","N","N","N","N",1
"7",20051001,50000,2018-09-05,"2010-11-06",1.72,2014-09-08,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,"WF Salt",91,"N","N","N","N","N","N","N",1
"8",20092015,45000,2018-09-06,"2010-09-08",5,2014-10-27,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,91,"N","N","N","N","N","N","N",1
"9",20101012,60000,2018-10-22,"2010-09-08",5.23,2019-06-12,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,91,"N","N","N","N","N","Y","N",1
"10",20111006,64000,2018-01-03,"2010-12-01",0.419,2014-09-23,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,"WF Lake",91,"N","N","N","N","N","Y","N",1
"11",20112018,360000,2018-10-17,"2010-09-08",2.74,2019-06-20,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,91,"N","N","N","N","N","Y","N",1
"12",20113031,80470,2018-08-09,"2010-09-08",4.97,2014-10-02,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,91,"N","N","N","N","N","Y","N",1
"13",20118007,25000,2018-03-02,"2010-09-08",2.78,2014-10-03,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,91,"N","N","N","N","N","Y","N",1
