Parcel_Number,sale_price,Sale_Date,Land_Economic_Area,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,withInSewerImprovement,near_firestation,near_healthcare,near_libraries,near_policestation,near_schools,near_waterplants,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
20242037,280000,2018-03-08,2010-11-06,0.601,0,1,91,0,1,0,0,0,0,0,780,1,5,3,0,1,1,1,0,0,0,1,2,2,1971
22347001,192000,2018-06-01,2010-10-01,0.2799,0,0,97,0,0,0,0,0,1,0,1024,1,6,4,0,0,0,0,0,0,0,1,3,1.5,2002
119063010,50000,2018-04-06,2013-01-11,0.2183,0,1,23,0,0,0,0,0,1,0,810,1,6,4,0,1,1,1,0,0,1,1,2,1.5,1981
119063011,250000,2018-10-15,2013-01-11,0.1604,0,1,23,0,0,0,0,0,1,0,480,1,6,1,0,0,0,1,0,0,0,1,2,1,1975
120017066,279950,2018-05-07,2012-05-01,0.5,0,0,24,0,1,0,0,0,0,0,1125,1,6,4,0,0,0,0,1,0,1,1,3,1,1990
121023036,275000,2018-03-08,2012-06-05,0.1899,0,0,149,0,1,0,0,0,0,0,1064,1,6,4,0,0,0,1,1,0,1,1,3,1.5,1982
121028020,185330,2018-08-13,2012-06-05,0.4699,0,0,149,0,1,0,0,0,0,0,2356,1,6,5,0,0,0,1,1,0,1,2,3,2.25,1988
121028061,470000,2018-07-19,2012-06-05,0.6899,0,0,149,0,1,0,0,0,0,0,1539,1,6,5,0,0,0,1,1,0,1,1,3,1.75,2005
121104026,657500,2018-05-16,2012-07-04,0.6701,1,0,149,0,1,0,0,0,0,0,2141,1,6,4,0,0,0,0,0,0,1,1,3,2.75,1988
121147025,355000,2018-02-09,2012-07-04,0.5012,0,0,149,0,0,0,0,0,0,0,1212,1,6,5,0,0,0,1,1,0,0,1,3,2,1992
121223009,100000,2018-03-13,2012-07-04,0.26,0,0,149,0,1,0,0,0,0,0,1229,1,6,3,0,0,0,1,0,0,1,1,2,2,1993
121238006,350000,2018-05-25,2012-06-05,0.58,0,0,149,0,1,0,0,0,1,0,1580,1,6,5,0,0,0,1,1,0,1,1,3,1.75,1986
121243063,425500,2018-02-16,2012-06-05,0.63,0,0,149,0,1,0,0,0,1,0,2272,1,6,6,0,0,0,1,1,0,2,2,4,2.25,1994
121243073,437000,2018-03-19,2012-06-05,0.63,0,0,149,0,1,0,0,0,1,0,2362,1,6,5,0,0,0,1,1,0,1,2,3,2.25,1995
121244035,430000,2018-08-14,2012-06-05,0.66,0,0,149,0,1,0,0,0,1,0,2100,1,6,5,0,0,0,1,0,0,0,1,3,1.5,1994
21233021,166500,2018-08-13,2010-08-06,0.4817,0,0,176,0,1,0,0,0,0,0,1540,1,6,4,0,0,0,0,0,0,0,1,3,2,1996
120121033,332000,2018-06-05,2012-05-01,0.5199,0,0,24,0,1,0,0,0,0,0,1924,1,6,5,0,0,0,1,1,0,1,1,3,2.25,1988
121073007,200000,2018-01-10,2010-11-13,0.482,0,1,149,0,0,0,0,0,0,0,956,1,6,3,0,0,0,1,0,0,0,1,2,1,1995
121112006,356250,2018-12-18,2012-07-04,0.3899,1,0,149,0,1,0,0,0,0,0,1436,1,6,5,0,1,1,1,1,0,2,1,4,2.25,1978
121247071,535000,2018-11-12,2012-06-05,0.6199,0,0,149,0,1,0,0,0,1,0,2160,1,6,6,0,0,0,1,1,0,1,2,4,2.5,2013
121256024,128500,2018-08-01,2012-06-05,0.5099,0,0,149,0,1,0,0,0,1,0,1344,1,6,4,0,0,0,1,0,1,1,1,3,1,1997
121275017,731000,2018-06-26,2012-07-04,0.46,1,0,149,0,0,0,0,0,0,0,1580,1,6,8,0,1,1,1,1,0,1,1,3,2.25,1993
122201039,280000,2018-08-17,2010-04-04,0.4247,0,1,451,0,0,0,0,0,0,0,1800,1,6,4,0,0,0,1,0,0,1,1,3,1.5,1983
20252030,490000,2018-07-31,2010-11-06,0.6887,0,1,91,0,0,0,0,0,0,0,1828,1,6,4,0,0,0,1,0,0,1,1.5,3,2.75,1990
21233015,300000,2018-11-27,2010-12-03,0.3558,0,1,176,0,1,0,0,0,0,0,2318,1,6,6,0,0,0,0,0,0,0,2,3,2,2008
22273036,221000,2018-03-20,2010-10-02,0.5699,0,0,97,0,0,0,0,0,0,0,1296,1,6,5,0,0,0,0,0,0,0,1,3,2,2016
22347014,260000,2018-07-09,2010-10-01,0.5556,0,0,97,0,0,0,0,0,1,0,1910,1,6,4,0,0,0,0,0,0,0,1,2,1.5,2001
122215022,270000,2018-11-07,2011-02-07,0.4899,0,0,451,0,1,0,0,0,0,0,1212,1,6,4,0,0,0,1,1,0,0,1,3,2,1990
122223024,206000,2018-10-05,2011-02-03,0.41,0,0,451,0,1,0,0,0,0,0,1144,1,6,4,0,0,0,0,1,0,0,1,3,1.5,1989
122227039,337500,2018-10-16,2011-02-07,0.6887,0,0,451,0,1,0,0,0,0,0,1322,1,6,4,0,0,0,1,1,0,0,1,3,1.75,1993
122256010,720000,2018-03-20,2012-06-05,0.45,1,0,451,0,0,1,0,1,0,0,2780,1,6,5,0,1,1,1,1,0,2,1.5,4,4,2000
122257019,372000,2018-04-05,2012-06-05,0.5211,0,0,451,0,1,1,0,1,0,0,1880,1,6,5,0,0,0,1,1,0,1,2,3,2.5,2002
122272021,685000,2018-10-23,2011-02-07,0.4199,1,0,451,0,0,0,0,0,0,0,1468,1,6,5,0,1,1,1,1,0,1,1,5,2.5,1989
122291039,277500,2018-01-08,2010-04-04,0.4,0,0,451,0,0,0,0,0,1,0,1411,1,6,5,0,0,0,1,1,0,1,2,3,2.5,2001
218343083,34814,2018-03-02,2001-06-13,0.2754,0,0,18,0,1,0,0,1,1,0,510,1,6,1,0,0,0,1,0,0,1,1,3,1,1961
218347012,95000,2018-12-12,2001-06-13,0.28,0,0,18,0,1,0,0,1,1,0,1008,1,6,3,0,0,0,1,0,0,0,1,3,1.75,1981
219012022,175350,2018-11-27,2014-01-15,0.1524,0,0,46,1,1,1,0,1,1,0,1270,1,4,4,0,0,0,0,0,0,1,1.5,3,1.5,1967
219062022,142000,2018-08-06,2013-04-01,0.5757,0,0,46,0,0,0,0,1,1,0,1796,1,6,6,0,0,0,1,1,1,1,1,2,2.5,2001
219091028,268000,2018-11-18,2014-05-01,0.2904,0,0,46,1,1,0,0,0,1,0,924,1,6,5,0,0,0,1,1,0,1,1,3,1,2000
219092032,345000,2018-07-17,2014-05-01,0.4462,0,1,46,1,1,0,0,0,1,0,1700,1,6,5,0,0,0,1,0,0,1,2,4,1.75,1990
219094059,300000,2018-05-07,2014-04-01,0.2371,0,0,46,1,1,1,0,0,1,0,1433,1,6,4,0,0,0,1,0,0,1,1,4,2.5,1994
219094065,230000,2018-08-07,2014-04-01,0.1687,0,0,46,1,1,0,0,0,1,0,1091,1,6,3,0,0,0,0,1,0,1,1,3,1,1986
219094083,100000,2018-07-24,2014-04-01,0.1814,0,0,46,1,1,0,0,0,0,0,641,1,4,2,0,0,0,0,0,0,1,1,1,1,1966
219094096,274900,2018-11-09,2014-04-01,0.3505,0,0,46,1,1,0,0,0,0,0,1600,1,4,2,0,0,0,0,0,0,1,1,3,1.75,1946
219098011,300000,2018-07-27,2014-04-01,0.45,0,0,46,1,1,1,0,0,1,0,1597,1,6,5,0,0,0,1,1,0,0,2,2,2,1994
219098018,370000,2018-11-20,2014-04-01,0.19,0,0,46,1,1,0,0,0,1,0,2064,1,6,5,0,0,0,1,1,0,1,2,5,2.5,2002
219106027,550000,2018-05-11,2014-08-01,0.3014,0,0,46,1,1,0,0,0,1,0,1969,1,6,7,0,1,1,1,0,0,1,1,3,2.5,2016
219114022,156000,2018-01-29,2014-03-01,0.2272,0,0,46,1,0,1,0,0,1,0,888,1,6,3,0,0,0,1,0,0,0,1,2,1,1980
219115010,430000,2018-10-12,2014-11-02,0.4899,0,0,46,1,0,1,1,0,1,0,2574,1,6,5,0,0,0,1,1,0,1,1.5,4,2.75,1999
219122154,235000,2018-09-27,2014-01-15,0.1997,0,0,46,1,1,1,0,0,1,0,1176,1,6,3,0,0,0,1,0,0,0,1,4,2,1975
219141033,207700,2018-08-07,2014-03-01,0.3599,0,0,46,1,0,0,0,0,1,0,920,1,6,3,0,0,0,0,0,0,0,1,2,1,1981
219165014,300000,2018-05-14,2014-04-01,0.1666,0,0,46,1,1,0,0,0,0,0,1512,1,6,5,0,0,0,1,1,0,1,1,3,2,2008
219212110,278000,2018-06-14,2014-03-01,0.1664,0,0,46,0,1,1,1,0,1,0,1330,1,6,5,0,0,0,1,1,0,1,1,3,2,2017
219212190,400000,2018-05-01,2014-03-01,0.3199,0,0,46,0,1,1,1,0,1,0,3092,1,6,4,0,0,0,1,0,0,2,3,3,3.25,1979
220012057,230000,2018-11-21,2016-06-02,0.0876,0,0,1351,0,1,0,0,0,1,0,916,1,6,3,0,0,0,0,0,0,0,1,2,1,1978
220012180,425000,2018-10-29,2017-09-01,0.1818,0,0,1351,0,0,0,0,0,1,0,1426,1,6,5,0,0,0,1,1,0,1,1,3,1.75,1987
220012221,290000,2018-06-06,2017-09-01,0.1735,0,0,1351,0,0,0,0,0,1,0,2230,1,6,4,0,0,0,0,0,0,1,2,2,1.5,1982
220014093,350000,2018-06-11,2017-09-01,0.1515,0,0,1351,0,1,1,0,0,1,0,960,1,6,5,1,0,0,1,0,1,0,1,4,1.75,1988
220016016,368000,2018-09-20,2017-09-01,0.1699,0,0,1351,0,1,0,0,0,1,0,1595,1,6,5,0,0,0,1,1,0,0,2,3,2.5,2000
220037020,575000,2018-08-22,2015-08-04,0.522,1,0,1351,0,1,0,0,0,1,0,2442,1,6,5,0,0,0,0,0,0,1,2,4,2.5,1988
220037067,565000,2018-02-01,2015-08-04,0.183,0,0,1351,0,1,0,1,0,1,0,1877,1,6,6,0,1,1,1,1,0,2,1,3,2.75,2004
220044253,320000,2018-12-14,2015-08-04,0.1377,0,0,1351,0,0,0,0,0,1,0,1725,1,6,5,0,0,0,1,1,0,1,1,3,1,1981
220044272,289000,2018-01-05,2015-08-04,0.1148,0,0,1351,0,0,0,0,0,1,0,994,1,6,4,0,0,0,1,1,0,1,1,3,1,1990
220044276,330000,2018-04-12,2015-08-04,0.2685,0,0,1351,0,0,0,0,0,1,0,1939,1,5,5,0,1,1,0,0,0,1,1.5,5,2.75,1971
220044323,402000,2018-10-10,2015-08-04,0.2199,0,0,1351,0,0,0,0,0,1,0,1224,1,6,5,0,1,1,1,1,0,2,1,4,3,2002
220048026,389950,2018-03-07,2015-08-04,0.1099,0,0,1351,0,0,0,0,0,1,0,1419,1,6,5,0,1,1,1,1,0,1,2,4,2.5,1996
220052010,765000,2018-11-21,2032-11-12,0.3673,0,1,1351,0,0,0,0,0,0,0,1120,1,6,2,0,1,0,1,0,0,1,1,2,1.75,1968
220052046,95000,2018-10-04,2032-11-12,0.5032,0,1,1351,0,0,0,0,0,0,0,3166,1,6,6,0,0,0,1,0,1,1,2,3,3.5,2012
220052047,609000,2018-12-04,2012-06-03,0.2789,1,0,1351,0,0,0,0,0,0,0,1589,1,6,5,0,1,1,1,0,0,1,1,5,1.75,1978
220072054,307500,2018-08-02,2012-05-01,0.3787,0,0,1351,0,1,0,0,0,0,0,1512,1,6,5,0,0,0,1,1,0,1,2,3,1.5,1986
220091083,435000,2018-07-25,2015-10-01,0.3054,0,0,1351,1,0,0,0,0,1,0,1406,1,6,5,1,0,0,1,1,0,1,1,3,1.5,1985
220091181,410000,2018-04-19,2015-10-01,0.33,0,0,1351,1,0,0,0,0,1,0,1808,1,6,4,0,0,0,1,1,0,2,1,4,2,1978
220093035,596550,2018-07-17,2015-02-13,0.3281,1,0,1351,1,0,0,0,0,1,0,1246,1,6,5,0,1,1,1,0,1,1,1,4,1.75,1974
220095012,434000,2018-03-19,2015-10-01,0.3139,0,0,1351,0,0,0,0,0,1,0,2440,1,6,4,0,0,0,1,1,0,2,2,4,3,1988
220101073,334950,2018-06-13,2015-10-01,0.2203,0,0,1351,1,1,0,1,0,1,0,1416,1,6,4,0,0,0,1,1,0,2,1,3,1.5,1977
220102058,333250,2018-12-10,2015-10-01,0.1757,0,0,1351,1,1,0,1,1,1,0,1490,1,6,2,0,0,0,0,0,0,0,1,4,1,1971
220102094,270000,2018-10-11,2015-10-01,0.2134,0,0,1351,1,0,0,1,1,1,0,1001,1,5,2,0,0,0,0,0,0,0,1,2,1,1973
220153141,319588,2018-10-02,2015-05-01,0.21,0,0,1351,0,1,1,1,1,1,0,1402,1,6,5,1,0,0,1,1,0,1,1,3,1.75,1980
220154035,433000,2018-07-30,2015-05-01,0.48,0,0,1351,0,1,1,1,1,1,0,2456,1,6,5,0,0,0,1,1,0,1,2,3,2.5,1980
220154045,395000,2018-01-05,2015-05-01,0.31,0,0,1351,1,1,1,1,1,1,0,2352,1,6,5,0,0,0,1,0,0,2,1,4,2.75,1986
220154051,600000,2018-07-16,2015-05-01,0.33,0,0,1351,0,1,1,1,1,1,0,2956,1,6,5,0,1,1,1,1,0,1,1.5,5,3.75,1994
121104076,310000,2018-01-10,2012-07-04,0.3399,0,0,149,0,0,0,0,0,0,0,1635,1,6,5,0,0,0,0,1,0,1,1,3,1.75,1988
21351025,210000,2018-06-19,2010-11-06,0.551,0,1,176,0,1,0,0,0,0,0,600,1,6,1,0,0,0,1,0,0,1,1,2,1,1976
121125020,516000,2018-08-29,2012-06-05,0.65,0,0,149,0,0,0,0,0,1,0,2009,1,6,6,0,0,0,1,1,0,1,2,4,2.5,1997
121236039,460000,2018-12-03,2012-06-05,0.6605,0,0,149,0,0,0,0,0,1,0,2122,1,6,5,1,0,0,1,1,0,2,1,3,2,1987
121238024,235000,2018-03-02,2012-06-05,0.381,0,0,149,0,1,0,0,0,1,0,1911,1,6,5,0,0,0,1,1,0,1,2,4,2.75,2000
121243067,320000,2018-10-22,2012-06-05,0.6199,0,0,149,0,1,0,0,0,1,0,1492,1,6,5,0,0,0,1,1,0,1,1,3,1.75,1988
121234120,449900,2018-12-20,2012-06-05,0.5681,0,0,149,0,1,0,0,0,1,0,2144,1,6,5,0,0,0,1,1,0,1,2,4,2.5,2006
121247011,434950,2018-04-26,2012-06-05,0.45,0,0,149,0,1,0,0,0,1,0,1917,1,6,5,0,0,0,1,1,0,2,2,3,2.25,1995
121247026,270000,2018-10-02,2012-06-05,0.4621,0,0,149,0,1,0,0,0,1,0,1696,1,5,4,0,0,0,0,1,0,2,1,3,2,1980
121247072,300000,2018-06-18,2012-06-05,0.6199,0,0,149,0,1,0,0,0,1,0,1476,1,6,5,0,0,0,0,1,0,1,1,3,1.5,1991
121253035,495000,2018-10-05,2012-06-05,0.6399,1,0,149,0,0,0,0,0,1,0,1974,1,6,4,0,1,1,1,0,0,1,2,3,2.75,1987
121265011,400000,2018-08-16,2012-06-05,0.41,0,0,149,0,1,0,0,0,1,0,1704,1,6,5,0,0,0,1,1,0,1,1,3,2.5,1986
121345027,405100,2018-09-28,2012-05-01,0.65,1,0,149,0,0,0,0,0,0,0,1927,1,6,5,0,0,0,1,0,1,1,1,3,1.75,1988
122144028,550000,2018-03-20,2011-11-22,0.3673,0,1,451,0,0,0,0,0,1,0,1728,1,6,4,0,0,0,1,0,0,0,1,2,1.75,2002
121247005,375000,2018-08-30,2012-06-05,0.3842,0,0,149,0,1,0,0,0,1,0,2100,1,6,4,0,0,0,1,1,0,2,1,4,3.5,1986
