"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","square_feet","condition","quality","attic_finished_square_feet","basement_square_feet","basement_finished_square_feet","porch_square_feet","attached_garage_square_feet","detached_garage_square_feet","fireplaces","stories","bedrooms","bathrooms","year_built"
"1",20036001,195000,2018-05-09,2010-09-08,1.2,"0","0",91,"0","0","0","0","0","0","0",1080,"6","5","0","0","0","0","0","0",0,1,3,2,2005
"2",20036014,365000,2018-10-04,2010-09-08,1.1899,"0","0",91,"0","0","0","0","0","0","0",2217,"6","5","0","0","0","1","1","0",1,2,3,2.5,2006
"3",20037003,373000,2018-05-31,2010-09-08,1,"0","0",91,"0","0","0","0","0","0","0",1923,"6","5","0","0","0","1","1","0",1,1,3,2,2008
"4",20044018,308000,2018-03-27,2010-09-08,4.95,"0","0",91,"0","0","0","0","0","0","0",1782,"6","7","0","0","0","0","1","0",1,1,3,2.5,1993
"5",20101012,60000,2018-10-22,2010-09-08,5.23,"0","0",91,"0","0","0","0","0","1","0",1576,"6","5","0","0","0","1","1","0",0,1,3,2,2018
"6",20112018,360000,2018-10-17,2010-09-08,2.74,"0","0",91,"0","0","0","0","0","1","0",1574,"6","5","0","0","0","1","1","0",0,2,3,2.5,2017
"7",20113031,80470,2018-08-09,2010-09-08,4.97,"0","0",91,"0","0","0","0","0","1","0",2605,"6","4","0","0","0","1","0","0",1,2,2,2,1999
"8",20264004,140000,2018-03-28,2010-09-05,7,"0","0",91,"0","0","0","0","0","0","1",903,"5","1","0","0","0","0","0","0",1,1,1,1,1988
"9",21117026,278000,2018-03-02,2010-08-06,2.49,"0","0",176,"0","0","0","0","0","0","0",2187,"6","4","0","0","0","0","0","0",1,2,3,2,1999
"10",21122027,580000,2018-11-19,2010-08-06,5,"0","1",176,"0","0","0","0","0","0","0",1852,"6","5","1","1","1","1","0","0",2,1,3,2.75,1989
"11",21145009,264950,2018-09-21,2010-08-06,1.1337,"0","0",176,"0","0","0","0","0","1","0",1293,"6","7","0","0","0","1","0","0",0,1,3,2,1995
"12",21252006,489000,2018-10-07,2010-11-06,0.8539,"0","1",176,"0","1","0","0","0","0","0",1812,"6","3","0","0","0","0","0","0",1,1,3,1.75,1982
"13",21344016,256000,2018-03-27,2010-08-06,0.85,"0","0",176,"0","0","0","0","0","0","0",1812,"6","4","0","0","0","0","0","0",0,1,2,1.75,1993
"14",21347016,435000,2018-08-06,2010-08-06,4.03,"0","0",176,"0","0","0","0","0","0","0",2776,"6","5","0","0","0","1","1","0",0,2,5,2.5,2008
"15",20022026,271000,2018-04-02,2010-09-08,5.13,"0","0",91,"0","0","0","0","0","1","0",1756,"6","5","0","0","0","0","0","0",0,2,3,2,1984
"16",20033010,229000,2018-06-11,2010-09-08,10,"0","0",91,"0","0","0","0","0","1","0",1512,"6","5","0","0","0","1","0","0",1,1,3,2,1995
"17",20037009,35000,2018-01-31,2010-09-08,1.7399,"0","0",91,"0","0","0","0","0","0","0",1728,"6","7","0","0","0","0","0","0",0,1,3,2,2018
"18",20037026,31950,2018-06-19,2010-09-08,1,"0","0",91,"0","0","0","0","0","0","0",1872,"6","4","0","0","0","0","0","0",0,2,6,3.5,2019
"19",20043016,30000,2018-02-21,2010-09-08,5.31,"0","0",91,"0","0","0","0","0","0","0",1848,"6","5","0","0","0","0","0","0",0,1,3,2,2000
"20",20101008,258000,2018-03-12,2010-09-08,4.83,"0","0",91,"0","0","0","0","0","1","0",3058,"6","3","0","0","0","0","0","0",0,1,3,2.5,1999
"21",20117008,212000,2018-02-01,2010-09-08,1.2399,"0","0",91,"0","0","0","0","0","1","0",1404,"6","7","0","0","0","0","0","0",0,1,4,2,2000
